DATE,Risk_Free_Rate
2002-01-01,
2002-01-02,6.865079365079365e-05
2002-01-03,6.865079365079365e-05
2002-01-04,6.825396825396825e-05
2002-01-07,6.746031746031747e-05
2002-01-08,6.746031746031747e-05
2002-01-09,6.666666666666666e-05
2002-01-10,6.587301587301587e-05
2002-01-11,6.42857142857143e-05
2002-01-14,6.42857142857143e-05
2002-01-15,6.507936507936507e-05
2002-01-16,6.42857142857143e-05
2002-01-17,6.349206349206349e-05
2002-01-18,6.30952380952381e-05
2002-01-21,6.30952380952381e-05
2002-01-22,6.626984126984126e-05
2002-01-23,6.746031746031747e-05
2002-01-24,6.706349206349206e-05
2002-01-25,6.706349206349206e-05
2002-01-28,6.785714285714286e-05
2002-01-29,6.825396825396825e-05
2002-01-30,6.746031746031747e-05
2002-01-31,6.706349206349206e-05
2002-02-01,6.706349206349206e-05
2002-02-04,6.746031746031747e-05
2002-02-05,6.904761904761904e-05
2002-02-06,6.865079365079365e-05
2002-02-07,6.785714285714286e-05
2002-02-08,6.706349206349206e-05
2002-02-11,6.865079365079365e-05
2002-02-12,6.984126984126985e-05
2002-02-13,6.944444444444444e-05
2002-02-14,6.944444444444444e-05
2002-02-15,6.825396825396825e-05
2002-02-18,6.825396825396825e-05
2002-02-19,6.865079365079365e-05
2002-02-20,6.944444444444444e-05
2002-02-21,6.984126984126985e-05
2002-02-22,6.944444444444444e-05
2002-02-25,6.984126984126985e-05
2002-02-26,7.063492063492064e-05
2002-02-27,7.023809523809524e-05
2002-02-28,6.984126984126985e-05
2002-03-01,7.063492063492064e-05
2002-03-04,7.023809523809524e-05
2002-03-05,7.063492063492064e-05
2002-03-06,7.023809523809524e-05
2002-03-07,7.023809523809524e-05
2002-03-08,7.023809523809524e-05
2002-03-11,7.142857142857143e-05
2002-03-12,7.222222222222223e-05
2002-03-13,7.142857142857143e-05
2002-03-14,7.103174603174603e-05
2002-03-15,7.103174603174603e-05
2002-03-18,7.023809523809524e-05
2002-03-19,7.182539682539683e-05
2002-03-20,7.103174603174603e-05
2002-03-21,7.063492063492064e-05
2002-03-22,7.063492063492064e-05
2002-03-25,7.063492063492064e-05
2002-03-26,7.222222222222223e-05
2002-03-27,7.023809523809524e-05
2002-03-28,6.984126984126985e-05
2002-03-29,6.984126984126985e-05
2002-04-01,7.103174603174603e-05
2002-04-02,7.103174603174603e-05
2002-04-03,7.023809523809524e-05
2002-04-04,7.023809523809524e-05
2002-04-05,6.984126984126985e-05
2002-04-08,6.984126984126985e-05
2002-04-09,6.865079365079365e-05
2002-04-10,6.825396825396825e-05
2002-04-11,6.825396825396825e-05
2002-04-12,6.785714285714286e-05
2002-04-15,6.785714285714286e-05
2002-04-16,6.785714285714286e-05
2002-04-17,6.785714285714286e-05
2002-04-18,6.746031746031747e-05
2002-04-19,6.706349206349206e-05
2002-04-22,6.626984126984126e-05
2002-04-23,6.666666666666666e-05
2002-04-24,6.626984126984126e-05
2002-04-25,6.666666666666666e-05
2002-04-26,6.666666666666666e-05
2002-04-29,6.865079365079365e-05
2002-04-30,7.023809523809524e-05
2002-05-01,6.984126984126985e-05
2002-05-02,6.904761904761904e-05
2002-05-03,6.865079365079365e-05
2002-05-06,6.904761904761904e-05
2002-05-07,7.023809523809524e-05
2002-05-08,6.984126984126985e-05
2002-05-09,6.904761904761904e-05
2002-05-10,6.865079365079365e-05
2002-05-13,7.023809523809524e-05
2002-05-14,7.063492063492064e-05
2002-05-15,6.984126984126985e-05
2002-05-16,6.904761904761904e-05
2002-05-17,6.865079365079365e-05
2002-05-20,6.865079365079365e-05
2002-05-21,6.865079365079365e-05
2002-05-22,6.825396825396825e-05
2002-05-23,6.865079365079365e-05
2002-05-24,6.785714285714286e-05
2002-05-27,6.785714285714286e-05
2002-05-28,6.865079365079365e-05
2002-05-29,6.865079365079365e-05
2002-05-30,6.865079365079365e-05
2002-05-31,6.825396825396825e-05
2002-06-03,6.825396825396825e-05
2002-06-04,6.865079365079365e-05
2002-06-05,6.944444444444444e-05
2002-06-06,6.904761904761904e-05
2002-06-07,6.904761904761904e-05
2002-06-10,6.944444444444444e-05
2002-06-11,6.944444444444444e-05
2002-06-12,6.904761904761904e-05
2002-06-13,6.785714285714286e-05
2002-06-14,6.785714285714286e-05
2002-06-17,6.746031746031747e-05
2002-06-18,6.746031746031747e-05
2002-06-19,6.706349206349206e-05
2002-06-20,6.666666666666666e-05
2002-06-21,6.666666666666666e-05
2002-06-24,6.587301587301587e-05
2002-06-25,6.904761904761904e-05
2002-06-26,6.825396825396825e-05
2002-06-27,6.746031746031747e-05
2002-06-28,6.706349206349206e-05
2002-07-01,6.785714285714286e-05
2002-07-02,6.825396825396825e-05
2002-07-03,6.785714285714286e-05
2002-07-04,6.785714285714286e-05
2002-07-05,6.785714285714286e-05
2002-07-08,6.865079365079365e-05
2002-07-09,6.825396825396825e-05
2002-07-10,6.865079365079365e-05
2002-07-11,6.825396825396825e-05
2002-07-12,6.785714285714286e-05
2002-07-15,6.785714285714286e-05
2002-07-16,6.904761904761904e-05
2002-07-17,6.825396825396825e-05
2002-07-18,6.825396825396825e-05
2002-07-19,6.785714285714286e-05
2002-07-22,6.785714285714286e-05
2002-07-23,6.865079365079365e-05
2002-07-24,6.746031746031747e-05
2002-07-25,6.785714285714286e-05
2002-07-26,6.785714285714286e-05
2002-07-29,6.865079365079365e-05
2002-07-30,6.865079365079365e-05
2002-07-31,6.865079365079365e-05
2002-08-01,6.746031746031747e-05
2002-08-02,6.587301587301587e-05
2002-08-05,6.666666666666666e-05
2002-08-06,6.785714285714286e-05
2002-08-07,6.587301587301587e-05
2002-08-08,6.626984126984126e-05
2002-08-09,6.587301587301587e-05
2002-08-12,6.666666666666666e-05
2002-08-13,6.666666666666666e-05
2002-08-14,6.666666666666666e-05
2002-08-15,6.587301587301587e-05
2002-08-16,6.587301587301587e-05
2002-08-19,6.626984126984126e-05
2002-08-20,6.706349206349206e-05
2002-08-21,6.666666666666666e-05
2002-08-22,6.587301587301587e-05
2002-08-23,6.587301587301587e-05
2002-08-26,6.666666666666666e-05
2002-08-27,6.706349206349206e-05
2002-08-28,6.785714285714286e-05
2002-08-29,6.785714285714286e-05
2002-08-30,6.746031746031747e-05
2002-09-02,6.746031746031747e-05
2002-09-03,6.706349206349206e-05
2002-09-04,6.706349206349206e-05
2002-09-05,6.587301587301587e-05
2002-09-06,6.666666666666666e-05
2002-09-09,6.746031746031747e-05
2002-09-10,6.825396825396825e-05
2002-09-11,6.785714285714286e-05
2002-09-12,6.746031746031747e-05
2002-09-13,6.666666666666666e-05
2002-09-16,6.706349206349206e-05
2002-09-17,6.746031746031747e-05
2002-09-18,6.746031746031747e-05
2002-09-19,6.507936507936507e-05
2002-09-20,6.507936507936507e-05
2002-09-23,6.547619047619048e-05
2002-09-24,6.666666666666666e-05
2002-09-25,6.626984126984126e-05
2002-09-26,6.587301587301587e-05
2002-09-27,6.468253968253968e-05
2002-09-30,6.349206349206349e-05
2002-10-01,6.468253968253968e-05
2002-10-02,6.388888888888888e-05
2002-10-03,6.26984126984127e-05
2002-10-04,6.349206349206349e-05
2002-10-07,6.388888888888888e-05
2002-10-08,6.42857142857143e-05
2002-10-09,6.349206349206349e-05
2002-10-10,6.30952380952381e-05
2002-10-11,6.30952380952381e-05
2002-10-14,6.30952380952381e-05
2002-10-15,6.587301587301587e-05
2002-10-16,6.587301587301587e-05
2002-10-17,6.587301587301587e-05
2002-10-18,6.587301587301587e-05
2002-10-21,6.706349206349206e-05
2002-10-22,6.785714285714286e-05
2002-10-23,6.666666666666666e-05
2002-10-24,6.507936507936507e-05
2002-10-25,6.468253968253968e-05
2002-10-28,6.30952380952381e-05
2002-10-29,6.26984126984127e-05
2002-10-30,6.19047619047619e-05
2002-10-31,5.873015873015873e-05
2002-11-01,5.714285714285714e-05
2002-11-04,5.714285714285714e-05
2002-11-05,5.714285714285714e-05
2002-11-06,4.9206349206349204e-05
2002-11-07,4.761904761904762e-05
2002-11-08,4.722222222222222e-05
2002-11-11,4.722222222222222e-05
2002-11-12,4.761904761904762e-05
2002-11-13,4.841269841269841e-05
2002-11-14,4.841269841269841e-05
2002-11-15,4.880952380952381e-05
2002-11-18,4.9206349206349204e-05
2002-11-19,4.880952380952381e-05
2002-11-20,4.841269841269841e-05
2002-11-21,4.880952380952381e-05
2002-11-22,4.880952380952381e-05
2002-11-25,4.9206349206349204e-05
2002-11-26,5.0396825396825395e-05
2002-11-27,5.0793650793650794e-05
2002-11-28,5.0793650793650794e-05
2002-11-29,4.96031746031746e-05
2002-12-02,5e-05
2002-12-03,4.880952380952381e-05
2002-12-04,4.880952380952381e-05
2002-12-05,4.880952380952381e-05
2002-12-06,4.880952380952381e-05
2002-12-09,4.9206349206349204e-05
2002-12-10,4.880952380952381e-05
2002-12-11,4.880952380952381e-05
2002-12-12,4.761904761904762e-05
2002-12-13,4.761904761904762e-05
2002-12-16,4.761904761904762e-05
2002-12-17,4.841269841269841e-05
2002-12-18,4.761904761904762e-05
2002-12-19,4.722222222222222e-05
2002-12-20,4.682539682539682e-05
2002-12-23,4.563492063492063e-05
2002-12-24,4.642857142857142e-05
2002-12-25,4.642857142857142e-05
2002-12-26,4.523809523809523e-05
2002-12-27,4.2460317460317464e-05
2002-12-30,4.563492063492063e-05
2002-12-31,4.761904761904762e-05
2003-01-01,4.761904761904762e-05
2003-01-02,4.682539682539682e-05
2003-01-03,4.682539682539682e-05
2003-01-06,4.642857142857142e-05
2003-01-07,4.642857142857142e-05
2003-01-08,4.642857142857142e-05
2003-01-09,4.682539682539682e-05
2003-01-10,4.642857142857142e-05
2003-01-13,4.642857142857142e-05
2003-01-14,4.682539682539682e-05
2003-01-15,4.642857142857142e-05
2003-01-16,4.642857142857142e-05
2003-01-17,4.642857142857142e-05
2003-01-20,4.642857142857142e-05
2003-01-21,4.642857142857142e-05
2003-01-22,4.642857142857142e-05
2003-01-23,4.603174603174603e-05
2003-01-24,4.523809523809523e-05
2003-01-27,4.563492063492063e-05
2003-01-28,4.722222222222222e-05
2003-01-29,4.682539682539682e-05
2003-01-30,4.642857142857142e-05
2003-01-31,4.642857142857142e-05
